0.049807,0.065042,0.047530,0.046723,0.045602,0.055866,0.076140,0.063368,0.074806,0.122942,0.249199,0.418649,1.000000,0.537376,0.184759,0.219062,0.221655,0.147413,0.114617,0.102332,0.108249,0.102375,0.077951,0.071187,0.073361,0.071159,0.076501,0.080806,0.080169,0.083257,0.070958,0.079194,0.087041,0.031824
0.040963,0.053777,0.037553,0.035983,0.033469,0.042467,0.066727,0.062420,0.063561,0.100501,0.121789,0.258588,0.537376,1.000000,0.331636,0.337645,0.255661,0.140819,0.094852,0.088150,0.093298,0.090661,0.070652,0.061385,0.065056,0.062945,0.066543,0.069883,0.072395,0.074358,0.062130,0.066657,0.069103,0.027635
0.043538,0.062435,0.052796,0.054275,0.058871,0.074814,0.057892,0.104677,0.097470,0.147891,0.100726,0.093247,0.184759,0.331636,1.000000,0.613903,0.438670,0.127599,0.110690,0.092766,0.095041,0.105213,0.077199,0.077252,0.078925,0.079105,0.083561,0.084048,0.082410,0.085746,0.073253,0.079694,0.081667,0.036882
0.052634,0.064205,0.046719,0.048715,0.050460,0.060936,0.071106,0.097061,0.069403,0.096780,0.125895,0.097611,0.219062,0.337645,0.613903,1.000000,0.745249,0.330398,0.270667,0.243341,0.249889,0.249247,0.182994,0.154636,0.158538,0.153540,0.154374,0.156723,0.149879,0.151057,0.126083,0.128594,0.128243,0.050681
0.056481,0.069689,0.053590,0.055808,0.057244,0.067453,0.077135,0.084617,0.078446,0.082269,0.124722,0.094415,0.221655,0.255661,0.438670,0.745249,1.000000,0.463591,0.404202,0.364357,0.361065,0.360108,0.252970,0.224882,0.222229,0.213121,0.212108,0.214085,0.201069,0.201111,0.159277,0.164075,0.163308,0.059003
0.075482,0.091854,0.070137,0.074094,0.071067,0.075990,0.092785,0.064944,0.049091,0.039314,0.068525,0.092349,0.147413,0.140819,0.127599,0.330398,0.463591,1.000000,0.827941,0.702505,0.570874,0.423588,0.305835,0.221237,0.220394,0.212152,0.214893,0.224537,0.224951,0.230427,0.194592,0.196586,0.189603,0.071468
0.075514,0.092297,0.069505,0.074433,0.069743,0.077178,0.095170,0.068154,0.047560,0.038263,0.060794,0.070089,0.114617,0.094852,0.110690,0.270667,0.404202,0.827941,1.000000,0.878076,0.727623,0.553525,0.374386,0.276216,0.258985,0.246666,0.245825,0.252550,0.246424,0.250212,0.200098,0.202250,0.192366,0.070919
0.099917,0.118801,0.092048,0.098976,0.090788,0.098927,0.119350,0.082096,0.056267,0.043973,0.060893,0.061462,0.102332,0.088150,0.092766,0.243341,0.364357,0.702505,0.878076,1.000000,0.859856,0.680612,0.469298,0.341368,0.321772,0.302799,0.299850,0.307318,0.294611,0.299055,0.241327,0.244922,0.231073,0.082963
0.110013,0.127994,0.101406,0.103661,0.101413,0.105650,0.127761,0.086852,0.064331,0.054123,0.077233,0.069422,0.108249,0.093298,0.095041,0.249889,0.361065,0.570874,0.727623,0.859856,1.000000,0.879909,0.654740,0.490673,0.455085,0.426056,0.415095,0.417273,0.384472,0.384883,0.308330,0.304886,0.277360,0.098084
0.110781,0.128450,0.102225,0.103791,0.104331,0.107291,0.132031,0.094162,0.067902,0.057348,0.084052,0.069344,0.102375,0.090661,0.105213,0.249247,0.360108,0.423588,0.553525,0.680612,0.879909,1.000000,0.799277,0.642793,0.591011,0.550526,0.520110,0.513829,0.460827,0.453087,0.365725,0.358598,0.308596,0.105181
0.123754,0.144620,0.117454,0.118472,0.121160,0.124450,0.158364,0.107056,0.072852,0.056660,0.074457,0.071949,0.077951,0.070652,0.077199,0.182994,0.252970,0.305835,0.374386,0.469298,0.654740,0.799277,1.000000,0.855865,0.802573,0.752964,0.702320,0.685650,0.620106,0.604978,0.508907,0.493614,0.394846,0.128996
0.118834,0.142014,0.111684,0.112888,0.116361,0.117894,0.160502,0.111561,0.074541,0.057486,0.072789,0.071216,0.071187,0.061385,0.077252,0.154636,0.224882,0.221237,0.276216,0.341368,0.490673,0.642793,0.855865,1.000000,0.941784,0.898653,0.834341,0.806295,0.719048,0.699492,0.567868,0.549921,0.439822,0.144476
0.137440,0.164867,0.125268,0.126724,0.129137,0.131942,0.188635,0.130406,0.085893,0.066027,0.079219,0.081731,0.073361,0.065056,0.078925,0.158538,0.222229,0.220394,0.258985,0.321772,0.455085,0.591011,0.802573,0.941784,1.000000,0.969422,0.922233,0.897444,0.811911,0.792057,0.656672,0.633227,0.515605,0.170021
0.140067,0.169465,0.129417,0.131164,0.132634,0.135335,0.194183,0.133785,0.087406,0.067679,0.079712,0.083472,0.071159,0.062945,0.079105,0.153540,0.213121,0.212152,0.246666,0.302799,0.426056,0.550526,0.752964,0.898653,0.969422,1.000000,0.958861,0.935404,0.846706,0.828287,0.704501,0.675570,0.552420,0.179219
0.151504,0.182905,0.140244,0.142062,0.143648,0.146264,0.210317,0.149435,0.094403,0.072653,0.086427,0.091423,0.076501,0.066543,0.083561,0.154374,0.212108,0.214893,0.245825,0.299850,0.415095,0.520110,0.702320,0.834341,0.922233,0.958861,1.000000,0.976222,0.887196,0.869141,0.730745,0.705734,0.592649,0.191200
0.156808,0.190632,0.144577,0.146928,0.148852,0.151464,0.218406,0.150212,0.099766,0.077270,0.089339,0.096553,0.080806,0.069882,0.084048,0.156723,0.214085,0.224537,0.252550,0.307318,0.417273,0.513829,0.685650,0.806295,0.897444,0.935404,0.976222,1.000000,0.923198,0.912445,0.763359,0.743890,0.630465,0.202570
0.151793,0.185830,0.139808,0.142385,0.144015,0.148131,0.215905,0.148765,0.098431,0.077474,0.085564,0.096499,0.080169,0.072395,0.082410,0.149879,0.201069,0.224951,0.246424,0.294611,0.384472,0.460827,0.620106,0.719048,0.811911,0.846706,0.887196,0.923198,1.000000,0.984000,0.815616,0.774412,0.639073,0.201965
